Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,Close,High,Low,Open,Volume
04-01-2021,85.89584351,87.70518638,84.95086034,87.58128229,37324000
05-01-2021,86.58853149,86.92591538,85.43653784,85.8440895,20360000
06-01-2021,85.73410797,86.78359484,84.40148228,84.60849276,46588000
07-01-2021,88.2948761,88.46804418,85.92719028,85.92719028,41936000
08-01-2021,89.46378326,89.5399192,87.64198775,88.43520017,35484000
11-01-2021,87.39665985,88.79447981,87.19015052,88.428227,34796000
12-01-2021,86.45813751,87.97438679,85.41064775,86.85275048,29528000
13-01-2021,86.94681549,87.40164173,85.95505132,85.95505132,23432000
14-01-2021,86.13419342,87.95698355,85.89284698,87.02742201,29212000
15-01-2021,85.96997833,86.96522013,85.17826938,86.03964495,31444000
19-01-2021,88.79896545,89.76285544,86.22925024,86.73532987,41660000
20-01-2021,93.55620575,94.5340289,90.54261398,90.8839766,64152000
21-01-2021,93.7592392,96.14433582,93.52336737,94.23198513,58634000
22-01-2021,94.177742,94.76642688,93.37856142,94.1230034,32744000
25-01-2021,94.26332855,95.63378301,92.51568724,95.18194086,50586000
26-01-2021,94.94358063,95.33172433,93.36015508,93.85080553,31462000
27-01-2021,90.51425171,93.57611295,89.43640469,93.29943586,82512000
28-01-2021,92.21910858,93.95032604,91.11438958,91.11438958,55278000
29-01-2021,90.9332428,91.93744438,89.64938765,91.26465848,44530000
01-02-2021,94.203125,95.32127621,91.79065524,91.79065524,40252000
02-02-2021,95.4994278,97.00472805,94.86495656,95.20135335,66332000
03-02-2021,102.4541702,104.8298134,100.1984524,102.7890712,97882000
04-02-2021,102.1929321,102.9726972,101.2708345,102.5407641,48596000
05-02-2021,103.9445496,104.2983573,102.0122897,102.4880121,29866000
08-02-2021,103.730072,105.2468226,102.676614,104.5003913,28828000
09-02-2021,103.2757492,104.426247,103.0075308,103.2463867,21892000
10-02-2021,103.8276062,104.4446589,102.1237542,103.661401,25102000
11-02-2021,103.940567,104.201815,102.9507998,104.0525348,20480000
12-02-2021,104.253067,104.475499,103.185167,103.4936971,18990000
16-02-2021,105.0328445,106.746651,104.0898508,104.0898508,31004000
17-02-2021,105.4269638,105.6170569,103.9206689,104.2008236,20294000
18-02-2021,104.7894974,105.5946537,104.168466,104.7491932,22546000
19-02-2021,103.9435501,105.42497,103.6758329,104.8880397,37938000
22-02-2021,102.2242661,103.5215686,101.9127594,102.1914259,29466000
23-02-2021,102.5158768,103.1319347,99.03800498,100.2203558,34658000
24-02-2021,103.6947403,103.9191693,100.8941345,101.0190332,22608000
25-02-2021,100.3178864,103.6544354,99.8471374,102.3073753,41548000
26-02-2021,100.6144638,102.336729,99.57443796,101.0145514,40042000
01-03-2021,102.9906158,103.3175516,101.2369986,101.9127687,26060000
02-03-2021,102.7328415,104.2386429,102.3442042,102.7507536,25564000
03-03-2021,100.0919647,103.3055967,99.22560051,102.1093202,33892000
04-03-2021,101.2126083,103.235932,99.79438576,100.26414,49216000
05-03-2021,104.3545837,104.8089088,100.9065682,102.5671319,53100000
08-03-2021,99.89738464,105.184105,99.78243283,103.7071727,36868000
09-03-2021,101.5325775,102.7049738,101.295711,101.9998488,33920000
10-03-2021,101.3250732,102.5795736,100.4860821,102.5795736,27100000
11-03-2021,104.5272598,105.0612061,102.333251,102.4213309,27702000
12-03-2021,102.0122833,103.3862154,101.137468,103.3265033,33818000
15-03-2021,102.2332306,102.2605961,100.9070742,101.7624816,26168000
16-03-2021,103.6987228,105.1811298,102.4745721,102.8079772,31900000
17-03-2021,103.6156158,104.4506206,101.7196815,102.9313871,26382000
18-03-2021,100.5861053,102.9453247,100.4786175,101.9217151,31700000
19-03-2021,100.8657761,101.3673758,99.66999298,101.0036211,46072000
22-03-2021,101.051384,101.9296846,100.2208515,100.8991121,33536000
23-03-2021,101.5808411,102.7144214,100.9175161,101.5121691,28510000
24-03-2021,101.1429443,102.8880951,100.9672781,102.0998638,25218000
25-03-2021,101.1394577,101.7953186,99.32960619,100.9697673,35616000
26-03-2021,100.7547913,101.4842975,99.71575259,101.1061084,27978000
29-03-2021,101.8027878,101.9729794,99.79538669,100.6269139,26492000
30-03-2021,101.8366318,102.6427752,101.3230881,102.1605835,27312000
31-03-2021,102.6353149,103.8166711,101.8630063,102.2312485,42570000
01-04-2021,105.9822998,106.2793795,104.073928,104.1147332,39880000
05-04-2021,110.4200821,110.9191988,106.7501281,106.8466666,48510000
06-04-2021,109.9373856,110.8699311,109.5656657,110.0199908,35240000
07-04-2021,111.418808,111.6910051,110.1284759,110.1284759,24134000
08-04-2021,111.9860992,113.0490183,111.6168624,112.6613681,28664000
09-04-2021,112.9932785,113.1574943,111.3307255,111.7377835,26146000
12-04-2021,111.6969833,112.3075591,110.8609763,112.1697217,25024000
13-04-2021,112.1851501,112.6350029,111.6188573,112.0139715,25682000
14-04-2021,111.5621262,112.8320557,111.2690328,112.8320557,21002000
15-04-2021,113.718811,114.2537596,112.0229243,112.559361,29174000
16-04-2021,113.5944061,114.1661736,113.0057213,113.9173631,26282000
19-04-2021,113.9432373,114.6563274,112.9688993,112.9688993,30290000
20-04-2021,113.4083023,114.403043,112.3190125,114.3279017,22288000
21-04-2021,113.3754578,113.4575619,111.7069289,113.0619542,23204000
22-04-2021,112.0900955,113.8994458,111.4829975,113.2286493,24146000
23-04-2021,114.4493179,114.7573469,112.5245222,112.8106527,29066000
26-04-2021,114.9469452,115.6734751,114.3194444,114.6777321,32038000
27-04-2021,114.003952,115.3709136,113.7640938,115.3301083,44386000
28-04-2021,117.3907623,120.9905486,117.1011466,119.0557984,81106000
29-04-2021,119.0687332,119.6360207,118.1277289,118.8930746,41234000
30-04-2021,117.1150818,118.5258328,116.7697328,117.8376253,44856000
03-05-2021,116.5965576,118.5109053,116.2193632,117.6828634,28242000
04-05-2021,114.7926865,115.6963632,112.2971178,115.1270863,44818000
05-05-2021,115.1877975,116.1944822,114.8648405,115.8775009,26636000
06-05-2021,116.3114243,116.3114243,114.1064661,114.7678017,25190000
07-05-2021,117.0369492,117.9983561,116.749824,117.6321109,28898000
10-05-2021,114.0422668,115.9954303,113.6834781,115.8531054,30914000
11-05-2021,112.9629288,113.4714989,111.1645276,111.619855,34186000
12-05-2021,109.4890366,111.8641862,109.1591167,110.7798699,46376000
13-05-2021,110.9216919,111.4392143,109.8109971,110.7763829,33204000
14-05-2021,113.3769455,113.6924385,111.9646987,112.3896689,31996000
17-05-2021,113.9014435,113.9442382,112.2388903,112.6399727,21598000
18-05-2021,112.5852356,114.8349854,112.5713023,114.5697511,22204000
19-05-2021,113.034584,113.2082533,110.7425484,110.891335,23684000
20-05-2021,114.7986603,115.0499537,113.6327333,114.0049543,32352000
21-05-2021,114.1606979,115.3928138,113.9203462,115.3191608,40632000
24-05-2021,117.4902878,117.7147092,115.047962,115.1937646,31832000
25-05-2021,117.5813446,118.6328132,117.1897157,118.0356697,22440000
26-05-2021,118.4492111,118.8811442,117.7600013,117.7629854,21572000
27-05-2021,117.571907,118.8841302,117.2524353,118.8841302,35224000
28-05-2021,117.2817764,118.2382023,117.0827311,118.1560982,21482000
01-06-2021,118.492485,118.7179088,117.1538837,118.1570906,23354000
02-06-2021,117.9655075,119.11252,117.058338,118.8890856,21158000
03-06-2021,116.820488,117.2902422,115.9217847,116.7284293,18696000
04-06-2021,119.1090393,119.3807429,117.558454,117.8998242,24458000
07-06-2021,119.5434647,119.653443,118.4835373,118.9035264,24120000
