Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Daily_Return,Price_Range,Volume_Change
30-01-2020,72.36651611,72.41627364,71.40859443,71.56285568,27110000,72.24808654799999,72.85090332000001,71.47470855750001,-0.001681997260907453,1.0076792100000063,0.25707131596030797
31-01-2020,71.29812622,73.13384739,71.01348397,73.04377813,43822000,71.915774536,72.76441574100001,71.634196091,-0.014763594372513511,2.120363420000004,0.6164514939136849
03-02-2020,73.77728271,73.96140764,72.48396629,72.73476617,71636000,72.422056578,72.779743194,71.9354564665,0.03477169206873998,1.4774413500000065,0.6347040299392999
04-02-2020,71.92662811,73.01790743,70.76319164,72.37847029,95880000,72.37139892399999,72.596420287,72.0538906095,-0.025084342117538516,2.2547157899999917,0.338433190016193
05-02-2020,71.95846558,72.88055549,71.14386347,72.83228621,36376000,72.265403746,72.408220672,72.18063430800001,0.0004426381555284742,1.7366920200000067,-0.6206090947017104
06-02-2020,73.44735718,73.72553014,72.17892342,72.25356352,37822000,72.48157196,72.364829254,72.3571159365,0.02069098594584018,1.5466067199999998,0.03975148449527155
07-02-2020,73.60360718,73.90914564,72.92186893,73.02039691,28360000,72.94266815199998,72.429221344,72.504710007,0.0021273740267750973,0.9872767100000033,-0.2501718576489874
10-02-2020,75.07408142,75.08503066,73.40904517,73.51006368,38302000,73.202027894,72.812042236,72.7030124665,0.019978290417260514,1.6759854900000022,0.3505641748942172
11-02-2020,75.14374542,76.13003504,74.9143429,75.30348132,34852000,73.845451356,73.10842514,72.877254486,0.0009279367616936707,1.2156921400000016,-0.09007362539815156
12-02-2020,75.57020569,75.65330449,75.07457418,75.43236069,31042000,74.56779937799999,73.416601562,73.0963069915,0.0056752596988129955,0.5787303099999974,-0.10931940778147597
13-02-2020,75.30944824,75.93445842,74.84217695,75.14075252,22914000,74.94021759,73.710894775,73.2808990475,-0.00345053248987659,1.0922814700000032,-0.26183879904645324
14-02-2020,75.57517242,75.64086026,74.91930395,75.36617258,23198000,75.33453063799999,74.138599395,73.451507568,0.003528430843805719,0.7215563099999969,0.012394169503360475
18-02-2020,75.61051178,76.16386599,75.1910162,75.35672785,25642000,75.44181671,74.32192230199999,73.550832748,0.00046760541681067913,0.9728497899999979,0.10535390981981196
19-02-2020,75.88071442,76.17282067,75.68714372,75.99666093,22746000,75.58921051,74.717330933,73.65687561,0.003573612102854229,0.48567694999999844,-0.1129397082910849
20-02-2020,75.48859406,75.99019373,74.85511756,75.58911141,25962000,75.57288818399999,75.07034378099999,73.7392822265,-0.005167589195716027,1.135076170000005,0.14138749670271689
21-02-2020,73.82006073,75.18802455,73.57274614,74.87103574,42520000,75.275010682,75.107614136,73.736221695,-0.022103118368767327,1.6152784099999877,0.6377782913488945
24-02-2020,70.65519714,71.47727088,70.00481082,70.81393833,49560000,74.291015626,74.812773132,73.620997238,-0.04287267659634719,1.472460060000003,0.16556914393226707
25-02-2020,68.98617554,71.50065059,68.69258106,71.20954665,51580000,72.966148378,74.203982544,73.50801239,-0.023622064158888456,2.8080695300000116,0.04075867635189678
26-02-2020,69.19268799,70.34717206,68.50000058,69.41711701,49776000,71.628543092,73.608876801,73.35865097050001,0.0029935338259221567,1.84717148,-0.03497479643272583
27-02-2020,65.43466187,68.14421148,65.3993312,67.63365192,62290000,69.617756654,72.595322419,73.0059619905,-0.05431247475951684,2.7448802799999896,0.251406300225008
28-02-2020,66.64388275,66.8031175,63.10878182,63.41233088,80198000,68.18252105799999,71.72876586999999,72.7198303225,0.018479821633408555,3.694335680000002,0.28749397977203395
02-03-2020,68.98617554,69.04339708,65.94471715,67.24798779,55430000,67.84871673800001,71.069866182,72.60423278850001,0.035146403440907026,3.098679930000003,-0.30883563181126716
03-03-2020,66.56774902,70.07448228,66.14576289,69.55148523,56602000,67.365031434,70.16558990600001,72.243756104,-0.03505668347418023,3.9287193899999977,0.021143784953995937
04-03-2020,68.75131226,68.81002964,66.53191948,67.62469466,47598000,67.276756288,69.45264969,72.0849903115,0.03280211922659371,2.278110159999997,-0.15907565103706578
05-03-2020,65.42520905,67.35946593,64.77233214,66.95738129,54380000,67.27486572400001,68.446311189,71.758327485,-0.048378759628929235,2.5871337899999958,0.1424849783604354
06-03-2020,64.47872925,64.82755589,62.56139382,63.19536384,64640000,66.841835024,67.512178041,71.3098960885,-0.014466591910721749,2.26616207,0.18867230599485096
09-03-2020,60.50025177,62.33846347,59.61697393,59.96132825,69252000,65.14465027,66.496683504,70.654728318,-0.061702169479402436,2.7214895400000003,0.07134900990099013
10-03-2020,63.4551239,63.48896252,60.43655456,62.42107,54872000,64.522125246,65.94357834,70.073780442,0.048840658403098036,3.0524079600000036,-0.20764743256512452
11-03-2020,60.25691223,62.54746342,59.27361438,62.11652507,54732000,62.823245240000006,65.050000764,69.3294387825,-0.05040115712389304,3.2738490400000018,-0.002551392331243574
12-03-2020,55.31304932,59.15468319,55.15978275,55.86391676,94326000,60.800813294,64.03783950900001,68.316580964,-0.08204640309362898,3.994900440000002,0.7234159175619381
13-03-2020,60.42461395,60.43108327,55.34987319,58.46995836,79400000,59.98999023399999,63.415912629000005,67.5723392495,0.09241155012858382,5.081210080000005,-0.15823844963212685
16-03-2020,53.39472198,57.00097753,53.100129,54.22126802,96520000,58.56888427599999,61.856767273,66.4633167275,-0.11634152889776139,3.9008485299999975,0.21561712846347603
17-03-2020,55.63700104,56.03211139,52.20540933,54.27252617,83194000,57.005259704000004,60.76369247499999,65.4646411905,0.04199439526700588,3.8267020599999952,-0.1380646498135102
18-03-2020,54.29989624,54.98661171,51.60328544,52.74483094,93044000,55.813856506,59.31855087300001,64.3856002815,-0.0240326540792285,3.3833262699999977,0.11839796139144654
19-03-2020,55.31902313,57.356284,52.52637485,54.1521015,74064000,55.815051268000005,58.307932281,63.377121735,0.018768486876946433,4.829909149999999,-0.20398951033919432
20-03-2020,53.15635681,56.65313876,52.85231044,56.27594055,82878000,54.361399840000004,57.17569503699999,62.343936539000005,-0.03909444161582032,3.800828320000001,0.11900518470511989
23-03-2020,52.45571136,53.0916708,50.20347875,52.56717796,83672000,54.173597715999996,56.371240996,61.43396225,-0.013180840299201746,2.8881920500000007,0.009580347016096002
24-03-2020,56.23165894,56.39686944,54.06302621,54.93635331,72468000,54.292529296,55.6488945,60.79623642,0.07198353586487327,2.3338432300000065,-0.13390381489626157
25-03-2020,54.81891632,57.0358146,53.89284377,55.96145275,90324000,54.396333312,55.105094909,60.0775478365,-0.025123616244497105,3.142970830000003,0.2463984103328365
